antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'customer_type_Transient-Party'}),"frozenset({'deposit_type_No Deposit', 'market_segment_Groups'})",0.14446028190683047,0.06721871535555103,0.061313604380189596,0.4244322631166797,6.314197777682304,1.0,0.051603169810511704,1.6206281639332807,0.9837377925003664,0.4077640686126994,0.38295531186315435,0.6682915270480739
"frozenset({'deposit_type_No Deposit', 'market_segment_Groups'})",frozenset({'customer_type_Transient-Party'}),0.06721871535555103,0.14446028190683047,0.061313604380189596,0.9121507909794682,6.314197777682304,1.0,0.051603169810511704,9.738729894462857,0.9022766296111588,0.4077640686126994,0.8973172055456051,0.6682915270480739
"frozenset({'customer_type_Transient', 'market_segment_Groups'})",frozenset({'deposit_type_Non Refund'}),0.1824475666870291,0.32792597117581845,0.18018507206045387,0.9875992063492065,3.0116529130280516,1.0,0.12035577656594494,54.19604968438268,0.8170196769647725,0.5457037138550089,0.9815484706759326,0.7685339760185387
frozenset({'deposit_type_Non Refund'}),"frozenset({'customer_type_Transient', 'market_segment_Groups'})",0.32792597117581845,0.1824475666870291,0.18018507206045387,0.5494687456878709,3.011652913028051,1.0,0.12035577656594494,1.814640883374916,0.9938732882384127,0.5457037138550089,0.4489267771041429,0.7685339760185387
"frozenset({'customer_type_Transient', 'market_segment_Groups', 'hotel_City Hotel'})",frozenset({'deposit_type_Non Refund'}),0.1498450191180796,0.32792597117581845,0.14789927373922487,0.9870149479088026,3.0098712351746357,1.0,0.09876120031906954,51.75751503375049,0.7854566384846104,0.4483539094650206,0.9806791342407395,0.7190145803432519
frozenset({'deposit_type_Non Refund'}),"frozenset({'customer_type_Transient', 'market_segment_Groups', 'hotel_City Hotel'})",0.32792597117581845,0.1498450191180796,0.14789927373922487,0.45101421277770115,3.0098712351746357,1.0,0.09876120031906954,1.5485919684432017,0.9935808331155603,0.4483539094650206,0.354252107477156,0.7190145803432519
"frozenset({'customer_type_Transient', 'market_segment_Groups'})","frozenset({'deposit_type_Non Refund', 'hotel_City Hotel'})",0.1824475666870291,0.29059480983732666,0.14789927373922487,0.810639880952381,2.7895882978989635,1.0,0.09488095779252467,3.746328391271644,0.784688708455423,0.454874399832997,0.7330719852723422,0.6597967389813291
"frozenset({'deposit_type_Non Refund', 'hotel_City Hotel'})","frozenset({'customer_type_Transient', 'market_segment_Groups'})",0.29059480983732666,0.1824475666870291,0.14789927373922487,0.5089535970102771,2.789588297898963,1.0,0.09488095779252467,1.6649188922580935,0.9043127564993372,0.454874399832997,0.3993701407017362,0.6597967389813291
frozenset({'deposit_type_Non Refund'}),"frozenset({'customer_type_Transient', 'market_segment_Offline TA/TO', 'hotel_City Hotel'})",0.32792597117581845,0.11697097219394104,0.10040951152741012,0.30619566717262314,2.617706439722006,1.0,0.06205169187133235,1.272734957142106,0.9195210162967239,0.29147510836726653,0.2142904582070453,0.582304796835828
"frozenset({'customer_type_Transient', 'market_segment_Offline TA/TO', 'hotel_City Hotel'})",frozenset({'deposit_type_Non Refund'}),0.11697097219394104,0.32792597117581845,0.10040951152741012,0.8584139264990329,2.617706439722006,1.0,0.06205169187133235,4.746752362050573,0.6998481075378357,0.29147510836726653,0.7893296460976521,0.582304796835828
